service_ID;service_name;title;text;description
1;Диагностика неисправностей ноутбука;;;
2;Чистка от пыли системы охлаждения ноутбука;;;
3;Замена термопасты ноутбука;;;
4;Чистка ноутбука после залития;;;
5;Разборка и сборка ноутбука;;;
6;Замена матрицы ноутбука;;;
7;Замена клавиатуры ноутбука;;;
8;Замена жесткого диска ноутбука;;;
9;Замена корпусных деталей ноутбука;;;
10;Замена кулера системы охлаждения ноутбука;;;
11;Замена батарейки БИОСа ноутбука;;;
12;Замена тачпада ноутбука;;;
13;Замена материнской платы ноутбука;;;
14;Замена петель ноутбука;;;
15;Замена веб камеры ноутбука;;;
16;Замена Wi-Fi адаптера ноутбука;;;
17;Замена разъема питания ноутбука;;;
18;Замена USB разъема ноутбука;;;
19;Замена шлейфа матрицы ноутбука;;;
20;Снятие пароля жесткого диска ноутбука;;;
21;Ремонт цепи питания ноутбука;;;
22;Замена видеочипа ноутбука;;;
23;Замена южного моста ноутбука;;;
24;Замена северного моста ноутбука;;;
25;Ремонт материнской платы после залития с пайкой;;;
26;Восстановление корпусных деталей ноутбука;;;
27;Диагностика неисправностей компьютера;;;
28;Чистка от пыли системного блока;;;
29;Замена термопасты на процессоре;;;
30;Замена корпуса компьютера;;;
31;Замена блока питания компьютера;;;
32;Замена кулера процессора;;;
33;Установка водяного охлаждения;;;
34;Замена материнской платы компьютера;;;
35;Замена видеокарты компьютера;;;
36;Замена или добавление оперативной памяти;;;
37;Замена жесткого диска компьютера;;;
38;Установка SSD-диска;;;
39;Замена процессора компьютера;;;
40;Замена сетевой карты компьютера;;;
41;Замена батарейки БИОСа;;;
42;Замена оптического привода;;;
43;Перепрошивка БИОСа материнской платы;;;
44;Замена конденсаторов материнской платы;;;
45;Ремонт блока питания;;;
46;Замена разъемов передней панели;;;
47;Установка картридера;;;
48;Подключение передней панели;;;
49;Установка дополнительной передней панели;;;
50;Подключение дополнительного жесткого диска;;;
51;Установка Windows;;;
52;Переустановка MacOS;;;
53;Установка Linux;;;
54;Установка офисного пакета;;;
55;Установка интернет браузера;;;
56;Установка мультимедиа проигрывателя;;;
57;Установка кодеков;;;
58;Установка месседжеров;;;
59;Установка архиватора;;;
60;Установка программы для записи дисков;;;
61;Установка игры;;;
62;Установка системных пакетов;;;
63;Установка файловых менеджеров;;;
64;Установка программы оптического распознавания текста;;;
65;Установка шрифтов;;;
66;Установка драйверов чипсета;;;
67;Установка драйверов видеокарты;;;
68;Установка драйверов звуковой карты;;;
69;Установка драйверов сетевой карты;;;
70;Установка драйверов Wi-Fi адаптера;;;
71;Установка драйверов тачпада;;;
72;Установка драйверов вебкамеры;;;
73;Установка драйверов принтера;;;
74;Установка драйвера сканера;;;
75;Установка антивируса;;;
76;Установка межсетевого экрана (Firewall);;;
77;Настройка BIOS;;;
78;Разбивка диска на логические разделы;;;
79;Форматирование жесткого диска;;;
80;Изменение файловой системы;;;
81;Восстановление запуска Windows;;;
82;Настройка параметров автозагрузки Windows;;;
83;Настройка графического интерфейса Windows;;;
84;Настройка расписания дефрагментации жесткого диска;;;
85;Настройка параметров автоматического обновления Windows;;;
86;Настройка уведомлений в Windows;;;
87;Настройка файла подкачки Windows;;;
88;Настройка электропитания компьютера;;;
89;Настройка антивируса;;;
90;Настройка межсетевого экрана (Firewall);;;
91;Проверка и очистка вирусов;;;
92;Удаление СМС баннера;;;
93;Очистка диска и системы от ненужных и старых файлов;;;
94;Организация резервного копирования;;;
95;Перенос данных со старого компьютера или ноутбука;;;
96;Создание образа раздела жесткого диска;;;
97;Запись информации на компакт диск;;;
98;Сброс пароля Windows;;;
99;Устранение ошибок в системном реестре, чистка реестра;;;
100;Сборка офисного компьютера под заказ;;;
101;Сборка домашнего компьютера под заказ;;;
102;Сборка игрового компьютера под заказ;;;
103;Восстановление данных с жесткого диска;;;
104;Восстановление данных с флешки;;;
105;Восстановление данных с карты памяти;;;
106;Восстановление данных с SSD;;;
107;Восстановление данных с RAID массива;;;
108;Восстановление данных с мобильных устройств;;;
109;Восстановление данных с видеорегистратора;;;
110;Восстановление данных с ноутбука;;;
111;Восстановление данных с сетевых хранилищ NAS;;;
112;Восстановление данных с фотоаппарата;;;
113;Восстановление файлов архивов;;;
114;Восстановление баз данных;;;
115;Восстановление файлов документов;;;
116;Восстановление аудиофайлов;;;
117;Восстановление файлов изображений и фотографий;;;
118;Восстановление видео файлов;;;
119;Восстановление данных после падения;;;
120;Восстановление данных после удаления;;;
121;Восстановление данных после шифрования;;;
122;Восстановление данных после возгорания или пожара;;;
123;Восстановление данных после форматирования;;;
124;Восстановление данных после залития или попадания влаги;;;
125;Восстановление данных после заражения вирусами;;;
126;Восстановление данных после перезаписи;;;
127;Монтаж роутера на стену;;;
128;Настройка роутера;;;
129;Подключение дополнительной антенны к Wi-Fi роутеру;;;
130;Настройка IPTV;;;
131;Настройка IP-камеры;;;
132;Настройка интернета через мобильный телефон;;;
133;Настройка интернета через локальную сеть;;;
134;Получение сетевых настроек от Интернет провайдера;;;
135;Настройка браузера;;;
136;Настройка почтового клиента;;;
137;Настройка торрент клиента;;;
138;Настройка родительского контроля;;;
139;Регистрация почтового ящика;;;
140;Регистрация аккаунта в социальной сети;;;
141;Выбор места установки роутера;;;
142;Прошивка роутера;;;
